Question Title,Question,Tags,Question_User_Id,Answer_User_Id
Jetpack Compose - Column - Gravity center,"<p>I'm creating a layout with Jetpack Compose and there is a column. I would like center items inside this column:</p>

<pre><code> Column(modifier = ExpandedWidth) {
        Text(text = item.title)
        Text(text = item.description)
 }
</code></pre>
","android,kotlin,android-jetpack,android-jetpack-compose",59713224,59790456
How to do POJO projection in spring data jpa for native query,"<p>I have the following MySQL query. I have tried interface projection in spring data jpa but the projection field id is UUID. So it is not getting mapped in interface projection. So I want to try POJO projection but it is not working.</p>

<pre class=""lang-sql prettyprint-override""><code>SELECT 
    f.receiver_user_id, f.modified_at, f.text
FROM
    (SELECT 
        receiver_user_id, MAX(modified_at) AS modified_at
    FROM
        text_log
    GROUP BY receiver_user_id) AS x
        INNER JOIN
    text_log AS f ON f.receiver_user_id = x.receiver_user_id
        AND f.modified_at = x.modified_at
ORDER BY f.modified_at DESC;

</code></pre>

<p>Also, it would helpfull if it is suggested using JPA criteria builder implementation for the above query.</p>

<p>I have tried following spring data JPA repository query implementation</p>

<pre class=""lang-java prettyprint-override""><code>@Query(value = ""SELECT "" + 
            ""f.receiver_user_id as receiverUserId, f.modified_at as modifiedAt, f.text as text"" + 
            ""FROM "" + 
            ""    (SELECT  "" + 
            ""        receiver_user_id, MAX(modified_at) AS modified_at "" + 
            ""    FROM "" + 
            ""        text_log "" + 
            ""    GROUP BY receiver_user_id) AS x "" + 
            ""        INNER JOIN "" + 
            ""    text_log AS f ON f.receiver_user_id = x.receiver_user_id "" + 
            ""        AND f.modified_at = x.modified_at "" + 
            ""ORDER BY f.modified_at DESC limit ?1  offset ?2 "", 
            nativeQuery = true)
    List&lt;ITextLog&gt; findTextLog(int l , int f);

    public interface ITextLog {

            public UUID getReceiverUserId();

            public Date getModifiedAt();

            public String getText();

    }

</code></pre>
","mysql,spring,jpa,spring-data-jpa",59857498,0
UserAgent will be deprecated - Impacts on GXT,"<p>Last week, we received information that the user-agent has its days counted.</p>

<p>Google announced that it will get rid of the User-Agent String in Chrome and Mozilla/Microsoft support the idea.
I'm wondering what will be the impact on that for GXT specific code, and how will we be able to build, and later, how the loading script may choose which permutation to use.
Any thoughts on that?</p>

<p><a href=""https://groups.google.com/a/chromium.org/forum/m/#!msg/blink-dev/-2JIRNMWJ7s/yHe4tQNLCgAJ"" rel=""nofollow noreferrer"">https://groups.google.com/a/chromium.org/forum/m/#!msg/blink-dev/-2JIRNMWJ7s/yHe4tQNLCgAJ</a></p>
","gwt,user-agent,gxt,client-hints",59841474,59849283
Calling One Laravel API Routes On Another Laravel Project,"<p>I've two <strong>LARAVEL</strong> projects one contains <strong>API</strong> routes and second contains the <strong>views</strong></p>

<p><strong>API</strong> end point is running on port <strong>8000</strong> using <strong>command</strong> <code>php artisan serve</code>
second one is running on port <strong>8001</strong> using <strong>command</strong> <code>php artisan serve --port 8001</code></p>

<p>I want to display the <strong>JSON</strong> from <strong>API end point</strong> to the <strong>view</strong>
what are the possible ways to do this</p>

<p>I want to perform test my <strong>JSON</strong> data for <strong>view</strong> that's why doing this</p>

<p>Currently doing this</p>

<pre><code>        $response = $client-&gt;request('GET',
            'http://localhost:8000/api/generate/token', [
                'headers' =&gt; [
                    'Accept'        =&gt; 'application/json',
                ],
            ]
        );
        return json_encode($response);
</code></pre>

<p>but this returns error <strong>Client error 404 Not Found</strong></p>
","json,laravel,laravel-api",59926350,0
Laravel attribute not working as expected,"<p>In the current application, there is a model <code>Part</code> and a model <code>Supplier</code>. Every Part has a Supplier.</p>
<pre><code>    public function supplier()
    {
        return $this-&gt;belongsTo(Supplier::class);
    }
</code></pre>
<p>I added an accessor to get the name of the supplier.</p>
<p>If i return the whole dataset, i get the supplier:</p>
<pre><code>    public function getSupplierNameAttribute()
    {
        return $this-&gt;supplier;
    }
</code></pre>
<pre><code>    &quot;supplierName&quot;: {
        &quot;id&quot;: 1,
        &quot;uuid&quot;: &quot;37e3a715-09d3-4fac-ae88-8f12e63fe79c&quot;,
        &quot;name&quot;: &quot;Laserteam&quot;,
        &quot;street&quot;: &quot;8602 Dessie Tunnel&quot;,
        &quot;zip&quot;: &quot;15869&quot;,
        &quot;city&quot;: &quot;New Clementview&quot;,
        &quot;email_send_type&quot;: null,
        &quot;active&quot;: 0,
        &quot;created_at&quot;: &quot;2020-01-09 09:46:02&quot;,
        &quot;updated_at&quot;: &quot;2020-01-09 09:46:02&quot;,
        &quot;deleted_at&quot;: null,
        &quot;action&quot;: &quot;&quot;,
        &quot;activeLabel&quot;: &quot;&lt;span class='badge badge-secondary'&gt;Inaktiv&lt;\/span&gt;&quot;
    },
</code></pre>
<p>If i try to get only the name (what I need finally), there is an error:</p>
<pre><code>    public function getSupplierNameAttribute()
    {
        return $this-&gt;supplier-&gt;name;
    }
</code></pre>
<pre><code>ErrorException: Trying to get property 'name' of non-object in file /gopanel/sites/7industry_net/public/7time/app/Models/Part/PartAttribute.php on line 48
</code></pre>
<p>If i try in this way, it works:</p>
<pre><code>    public function getSupplierNameAttribute()
    {
        return $this-&gt;supplier['name'];
    }
</code></pre>
<p>Why does <code>return $this-&gt;supplier-&gt;name;</code> not work?</p>
","laravel,eloquent,laravel-6",59662512,59662707
How to use MediaRecorder as MediaSource,"<p>As an exercise in learning WebRTC I am trying to to show the local webcam and side by side with a delayed playback of the webcam. In order to achieve this I am trying to pass recorded blobs to a BufferSource and use the corresponding MediaSource as source for a video element.</p>

<pre class=""lang-js prettyprint-override""><code>// the ondataavailable callback for the MediaRecorder
async function handleDataAvailable(event) {
  // console.log(""handleDataAvailable"", event);
  if (event.data &amp;&amp; event.data.size &gt; 0) {
    recordedBlobs.push(event.data);
  }

  if (recordedBlobs.length &gt; 5) {
    if (recordedBlobs.length === 5)
      console.log(""buffered enough for delayed playback"");
    if (!updatingBuffer) {
      updatingBuffer = true;
      const bufferedBlob = recordedBlobs.shift();
      const bufferedAsArrayBuffer = await bufferedBlob.arrayBuffer();
      if (!sourceBuffer.updating) {
        console.log(""appending to buffer"");
        sourceBuffer.appendBuffer(bufferedAsArrayBuffer);
      } else {
        console.warn(""Buffer still updating... "");
        recordedBlobs.unshift(bufferedBlob);
      }
    }
  }
}
</code></pre>

<pre class=""lang-js prettyprint-override""><code>// connecting the media source to the video element
recordedVideo.src = null;
recordedVideo.srcObject = null;
recordedVideo.src = window.URL.createObjectURL(mediaSource);
recordedVideo.controls = true;
try {
  await recordedVideo.play();
} catch (e) {
  console.error(`Play failed: ${e}`);
}
</code></pre>

<p>All code: <a href=""https://jsfiddle.net/43rm7258/1/"" rel=""noreferrer"">https://jsfiddle.net/43rm7258/1/</a></p>

<p>When I run this in Chromium 78 I get an <code>NotSupportedError: Failed to load because no supported source was found.</code> from the <code>play</code> element of the video element.</p>

<p>I have no clue what I am doing wrong or how to proceed at this point.</p>

<p>This is about something similar, but does not help me: <a href=""https://stackoverflow.com/questions/37665469/mediasource-randomly-stops-video?noredirect=1#comment62899304_37665469"">MediaSource randomly stops video</a></p>

<p>This example was my starting point: <a href=""https://webrtc.github.io/samples/src/content/getusermedia/record/"" rel=""noreferrer"">https://webrtc.github.io/samples/src/content/getusermedia/record/</a></p>
","javascript,html,webrtc",59860029,59938285
How to solve Runtime Error in Visual Studio,"<p>I am following a course on PluralSight on C# Fundamentals all is going well until I try to debug the application inside visual studio or even run without debug I get the exception below. Even with simple Hello World I get this exception also. So far I have tried reinstalling Visual Studio the problem occurs again, also to mention I create the folder structure through the terminal I am not sure this is relevant but better to mention it.</p>

<p>I am using Visual Studio Version Version 16.4.2.</p>

<p>The runtime error:</p>

<blockquote>
  <p>An handled exception of type 'System.IO.FileNotFoundException' occurred in Unknown Module. Could not load file or assembly 'System.Runtime, Version=4.2.2.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a' or one of its dependencies. The system cannot fund the file specified.</p>
</blockquote>

<p>The code:</p>

<pre class=""lang-cs prettyprint-override""><code>using System;

namespace Gradebook
{
    class Program
    {
        static void Main(string args[])
        {
            Console.WriteLine($""Hello, {args[0]}!"");
        }
    }
}
</code></pre>
","c#,asp.net,.net,visual-studio",59563311,59563868
How is ESLint integrated into Create React App?,"<p>When I run <code>npx create-react-app ...</code>, a bare-bone React project is being created for me.
When I then peek into <code>package.json</code>, there seems to be some evidence of ESLint to be present, as there is this:</p>

<pre><code>""eslintConfig"": {
  ""extends"": ""react-app""
},
</code></pre>

<p>However, whenever I install ESLint as a dev dependency and configure it -- as I usually do --, VS Code seems to pick it up.
In this case, VS Code does not seem to recognize that there is any kind of linter present/configured.
This is not super surprising, as ESLint is not a dependency of the React project I just generated -- at least not according to <code>package.json</code>.
When I try to run <code>eslint .</code> within the project's root directory, it says ""command not found"".</p>

<p>I tried to breathe life into this ESLint configuration by expanding it, so now I have this:</p>

<pre><code>""eslintConfig"": {
  ""extends"": [""react-app"", ""eslint:recommended"", ""google""],
  ""rules"": {
    ""semi"": [""error"", ""always""],
    ""quotes"": [""error"", ""double""]
   }
},
</code></pre>

<p>This changes nothing.
I manipulated the source code in a way that I know it violates the above configuration, yet, I have not been signaled any wrongdoing.</p>

<p>This leads me to a simple question:
<strong>Do projects generated by <code>create-react-app</code> come with some kind of ESLint configuration, and, if so, how do I enable and extend it correctly?</strong></p>

<p>As I am being referred to <a href=""https://create-react-app.dev/docs/setting-up-your-editor/"" rel=""noreferrer"">the number one Google hit that comes up when searching ""create react app eslint""</a> -- which I have obviously read --, let me clarify what I mean:</p>

<p>ESLint is obviously integrated into Create React App in a different way than it would be if it had been manually added to the project using <a href=""https://eslint.org/docs/user-guide/getting-started"" rel=""noreferrer"">like so</a>.
This is not only evident by the sheer number of people who post about their struggles of getting the two to work together.
This is also evident as...</p>

<ul>
<li>...one cannot run the <code>eslint</code> command in the project root.</li>
<li>...ESLint does not seem to be a dependency within <code>package.json</code>.</li>
<li>...VS Code doesn't pick up that there is ESLint present.</li>
<li>...there is no <code>.eslintrc.*</code> file in the project root.</li>
<li>...etc.</li>
</ul>

<p>So: How do I go about ESLint in the context of Create React App? For starters: How do I run it? How do I expand it? And why does VS Code not pick it up -- even though it usually notices the presence of ESLint?</p>
","javascript,reactjs,visual-studio-code,create-react-app,eslint",59633005,59633134
Can&#39;t connect to Kafka using CONDUKTOR UI,"<p>I have been connecting to KAFKA using CONDUKTOR Application. But somehow Conduktor connection is disabled (yellow highlighted in the screenshot), and I am unable to connect to kafka, even after rebooting system twice.</p>

<p>Attaching the screenshot. Any help is appreciated.</p>

<p>Thanks,</p>

<p><a href=""https://i.stack.imgur.com/N2VxY.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/N2VxY.png"" alt=""enter image description here""></a></p>
","apache-kafka,conduktor",59900953,0
Maven dependencies are failing with a 501 error,"<p>Recently <em>Maven</em> build jobs running in <em>Jenkins</em> are failing with the below exception saying that they couldn't pull dependencies from <em>Maven Central</em> and should use <em>HTTPS</em>. I'm not sure how to change the requests from <em>HTTP</em> to <em>HTTPS</em>. Could someone guide me on this matter?</p>
<blockquote>
<p>[ERROR] Unresolveable build extension:<br />
Plugin <code>org.apache.maven.wagon:wagon-ssh:2.1</code> or one of its dependencies could not be resolved:<br />
Failed to collect dependencies for <code>org.apache.maven.wagon:wagon-ssh:jar:2.1 ()</code>:<br />
Failed to read artifact descriptor for <code>org.apache.maven.wagon:wagon-ssh:jar:2.1</code>:<br />
Could not transfer artifact <code>org.apache.maven.wagon:wagon-ssh:pom:2.1</code> from/to central (<a href=""http://repo.maven.apache.org/maven2"" rel=""noreferrer"">http://repo.maven.apache.org/maven2</a>):<br />
Failed to transfer file: <a href=""http://repo.maven.apache.org/maven2/org/apache/maven/wagon/wagon-ssh/2.1/wagon-ssh-2.1.pom"" rel=""noreferrer"">http://repo.maven.apache.org/maven2/org/apache/maven/wagon/wagon-ssh/2.1/wagon-ssh-2.1.pom</a>.<br />
Return code is: <code>501, ReasonPhrase:HTTPS Required. -&gt; [Help 2]</code></p>
<p>Waiting for <em>Jenkins</em> to finish collecting <code>data[ERROR]</code><br />
Plugin <code>org.apache.maven.plugins:maven-clean-plugin:2.4.1</code> or one of its dependencies could not be resolved:<br />
Failed to read artifact descriptor for <code>org.apache.maven.plugins:maven-clean-plugin:jar:2.4.1</code>:<br />
Could not transfer artifact <code>org.apache.maven.plugins:maven-clean-plugin:pom:2.4.1</code> from/to central (<a href=""http://repo.maven.apache.org/maven2"" rel=""noreferrer"">http://repo.maven.apache.org/maven2</a>):<br />
Failed to transfer file: <a href=""http://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-clean-plugin/2.4.1/maven-clean-plugin-2.4.1.pom"" rel=""noreferrer"">http://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-clean-plugin/2.4.1/maven-clean-plugin-2.4.1.pom</a>.<br />
Return code is: <code>501 , ReasonPhrase:HTTPS Required. -&gt; [Help 1]</code></p>
</blockquote>
","java,maven,jenkins,maven-central",59763531,59764670
